Date,Open,High,Low,Close,Volume
12-Dec-16,8.15,8.21,7.85,7.92,4090869
9-Dec-16,7.81,7.94,7.75,7.93,3592339
8-Dec-16,7.52,7.73,7.47,7.72,4630818
7-Dec-16,7.20,7.60,7.14,7.47,4431592
6-Dec-16,7.06,7.21,6.98,7.20,3543751
5-Dec-16,7.00,7.14,7.00,7.06,3761061
2-Dec-16,6.90,7.00,6.84,6.93,4712873
1-Dec-16,7.00,7.17,6.88,6.89,6768199
30-Nov-16,6.87,6.90,6.67,6.88,5888086
29-Nov-16,6.42,6.47,6.29,6.42,2773630
28-Nov-16,6.62,6.73,6.41,6.50,5940029
25-Nov-16,6.44,6.52,6.42,6.45,1112377
23-Nov-16,6.33,6.49,6.27,6.49,2245203
22-Nov-16,6.36,6.39,6.20,6.36,2783966
21-Nov-16,6.26,6.33,6.10,6.31,3435072
18-Nov-16,6.06,6.13,6.00,6.11,2306327
17-Nov-16,5.95,6.11,5.92,6.06,6142390
16-Nov-16,5.83,5.98,5.83,5.90,2330366
15-Nov-16,5.79,5.98,5.75,5.97,3315790
14-Nov-16,5.67,5.76,5.62,5.74,3339176
11-Nov-16,5.25,5.64,5.25,5.62,4146225
10-Nov-16,5.23,5.42,5.22,5.31,2912332
9-Nov-16,5.05,5.30,4.96,5.24,3180058
8-Nov-16,5.08,5.16,5.04,5.05,2026889
7-Nov-16,5.20,5.28,5.06,5.09,2802743
4-Nov-16,5.19,5.20,5.06,5.10,2661993
3-Nov-16,5.21,5.29,5.17,5.23,1841123
2-Nov-16,5.40,5.40,5.11,5.19,2669851
1-Nov-16,5.22,5.46,5.20,5.46,3563197
31-Oct-16,5.33,5.35,5.14,5.14,2665810
28-Oct-16,5.42,5.51,5.35,5.37,2726523
27-Oct-16,5.50,5.58,5.32,5.42,3761848
26-Oct-16,5.13,5.49,5.13,5.48,6608888
25-Oct-16,5.25,5.32,5.18,5.22,1916076
24-Oct-16,5.32,5.36,5.20,5.25,1342154
21-Oct-16,5.25,5.38,5.20,5.32,1589587
20-Oct-16,5.37,5.45,5.29,5.32,2057057
19-Oct-16,5.41,5.47,5.33,5.43,2423930
18-Oct-16,5.24,5.41,5.22,5.39,2197479
17-Oct-16,5.20,5.28,5.13,5.14,2167503
14-Oct-16,5.32,5.32,5.11,5.21,1301753
13-Oct-16,5.15,5.36,5.13,5.28,3256161
12-Oct-16,5.21,5.25,5.15,5.22,1334175
11-Oct-16,5.35,5.35,5.12,5.24,2744082
10-Oct-16,5.27,5.44,5.25,5.43,1815741
7-Oct-16,5.27,5.32,5.11,5.17,3378876
6-Oct-16,5.22,5.33,5.22,5.28,3228155
5-Oct-16,5.22,5.31,5.15,5.21,4046809
4-Oct-16,5.10,5.22,5.10,5.17,2646742
3-Oct-16,5.01,5.17,4.93,5.16,2496601
30-Sep-16,4.87,5.02,4.78,5.01,3538805
29-Sep-16,4.80,4.96,4.75,4.82,3619586
28-Sep-16,4.42,4.82,4.42,4.81,5094687
27-Sep-16,4.52,4.56,4.41,4.42,2844504
26-Sep-16,4.61,4.68,4.53,4.56,2720443
23-Sep-16,4.79,4.84,4.59,4.59,2457693
22-Sep-16,4.88,4.98,4.81,4.81,1992094
21-Sep-16,4.77,4.84,4.74,4.80,2517804
20-Sep-16,4.81,4.88,4.72,4.72,1477960
19-Sep-16,4.88,4.97,4.79,4.83,1334970
16-Sep-16,4.75,4.87,4.75,4.80,2549304
15-Sep-16,4.81,4.95,4.80,4.88,2019573
14-Sep-16,4.77,4.89,4.74,4.82,3993040
13-Sep-16,4.88,4.90,4.75,4.78,2359868
12-Sep-16,4.91,5.02,4.81,4.99,2477727
9-Sep-16,5.16,5.20,5.01,5.01,2514324
8-Sep-16,5.31,5.34,5.20,5.24,3475514
7-Sep-16,5.30,5.32,5.24,5.27,2556046
6-Sep-16,5.27,5.34,5.22,5.30,2370860
2-Sep-16,5.26,5.40,5.16,5.24,2244140
1-Sep-16,5.19,5.22,5.01,5.21,2841692
31-Aug-16,5.16,5.25,5.09,5.23,2903838
30-Aug-16,5.23,5.26,5.17,5.22,4891474
29-Aug-16,5.20,5.29,5.18,5.20,2938892
26-Aug-16,5.19,5.30,5.16,5.24,2005422
25-Aug-16,5.18,5.23,5.13,5.17,2210707
24-Aug-16,5.15,5.26,5.12,5.21,2227678
23-Aug-16,5.10,5.24,5.10,5.20,1960290
22-Aug-16,5.05,5.11,4.93,5.10,1552978
19-Aug-16,5.21,5.21,5.10,5.13,1884240
18-Aug-16,5.15,5.23,5.09,5.23,2232067
17-Aug-16,5.12,5.14,5.01,5.11,1258078
16-Aug-16,5.12,5.18,5.08,5.14,1279783
15-Aug-16,5.00,5.12,4.98,5.12,1316656
12-Aug-16,5.01,5.05,4.90,4.96,1215332
11-Aug-16,4.98,5.09,4.95,4.99,1783699
10-Aug-16,5.17,5.17,4.94,4.95,1320054
9-Aug-16,5.17,5.18,5.08,5.15,1438534
8-Aug-16,5.11,5.23,5.07,5.13,2232590
5-Aug-16,4.92,5.06,4.84,5.06,2140937
4-Aug-16,4.91,4.96,4.76,4.89,1784987
3-Aug-16,4.85,4.94,4.78,4.92,2066738
2-Aug-16,4.90,4.99,4.73,4.86,2771140
1-Aug-16,5.08,5.14,4.79,4.80,3506211
29-Jul-16,5.07,5.20,5.05,5.18,2369565
28-Jul-16,5.02,5.18,5.00,5.12,3401161
27-Jul-16,5.20,5.28,5.05,5.14,6587966
26-Jul-16,4.71,5.00,4.71,4.99,3678371
25-Jul-16,4.70,4.77,4.65,4.71,2208503
22-Jul-16,4.84,4.86,4.68,4.78,1542687
21-Jul-16,5.00,5.07,4.83,4.83,1545942
20-Jul-16,4.85,5.06,4.78,4.99,1835333
19-Jul-16,4.91,5.01,4.88,4.93,1588027
18-Jul-16,4.97,4.97,4.75,4.90,2625556
15-Jul-16,5.07,5.08,4.99,5.01,1620839
14-Jul-16,5.10,5.14,5.01,5.03,2136660
13-Jul-16,5.13,5.17,4.91,5.04,4317444
12-Jul-16,5.02,5.15,4.98,5.13,2912801
11-Jul-16,5.02,5.07,4.90,4.90,2827198
8-Jul-16,4.80,5.00,4.80,4.97,2122086
7-Jul-16,4.83,4.98,4.68,4.72,2385027
6-Jul-16,4.75,4.80,4.60,4.78,2182519
5-Jul-16,4.89,4.92,4.66,4.82,2401286
1-Jul-16,4.94,5.02,4.91,5.00,2049827
30-Jun-16,4.93,4.94,4.78,4.94,1857517
29-Jun-16,4.81,4.96,4.71,4.94,3903041
28-Jun-16,4.67,4.74,4.53,4.73,2269324
27-Jun-16,4.76,4.76,4.32,4.41,3396315
24-Jun-16,4.80,4.92,4.71,4.80,5477887
23-Jun-16,5.02,5.14,4.97,5.13,3524325
22-Jun-16,4.94,5.10,4.88,4.93,4379519
21-Jun-16,4.80,4.90,4.74,4.87,1584984
20-Jun-16,4.77,4.84,4.68,4.78,2706238
17-Jun-16,4.57,4.74,4.52,4.70,4634111
16-Jun-16,4.57,4.57,4.39,4.47,2799810
15-Jun-16,4.61,4.75,4.51,4.65,2244124
14-Jun-16,4.59,4.68,4.44,4.61,3290921
13-Jun-16,4.66,4.82,4.59,4.60,3207605
10-Jun-16,4.87,4.87,4.69,4.74,3536601
9-Jun-16,4.97,4.99,4.85,4.93,2550161
8-Jun-16,5.09,5.18,4.94,5.03,3792660
7-Jun-16,4.98,5.04,4.83,5.03,2988047
6-Jun-16,4.73,4.97,4.69,4.95,3844444
3-Jun-16,4.71,4.78,4.60,4.67,1846870
2-Jun-16,4.66,4.76,4.60,4.69,2278337
1-Jun-16,4.70,4.75,4.56,4.68,2398699
31-May-16,4.83,4.92,4.72,4.75,2733344
27-May-16,4.79,4.82,4.70,4.79,1974792
26-May-16,4.80,4.87,4.64,4.78,3035403
25-May-16,4.73,4.78,4.61,4.77,4109520
24-May-16,4.71,4.72,4.54,4.69,3026275
23-May-16,4.51,4.71,4.41,4.67,3210948
20-May-16,4.48,4.54,4.38,4.54,1674350
19-May-16,4.34,4.46,4.17,4.44,3656720
18-May-16,4.64,4.69,4.34,4.41,2559741
17-May-16,4.53,4.79,4.52,4.68,3866128
16-May-16,4.52,4.64,4.47,4.55,3844235
